Control Number,Confidence,Concentration,Responsiveness,Initiative,Excitability,Hearing Sensitivity,Body Sensitivity,CR,IP,PP,Total Score,CR.1,MP,PP.1,IP.1,HG,H1,H2,ACT,Total Score.1,BehElim,X_axis,Y_axis,Z_axis
12-0492,4.008876012120371,3.993814483322019,3.988455851144147,4.997356316879668,4.00478002270251,5.001451005620934,4.987850515166313,2.0117356583762014,1.9919941405010582,2.01682300739119,31.007042089905713,5.006990640164776,4.001339528876719,4.028376869713406,5.004741902961476,3.982080954551804,1.020373141117374,4.045152395063849,5.008595002163649,31.958282536125402,0,109.71621315828006,-25.477269598743355,40.072483529689954
12-0491,3.9975292920373415,3.993381624896325,3.994802124293077,3.9993980621573764,5.003888448692849,5.0001040693597405,4.99352836840713,3.0208560036008856,2.0171822062111073,1.9874917816733464,30.995402976989645,4.994017402203722,4.009564166162674,3.9828747079184326,5.0165215395477665,4.012624346704775,1.990914451415081,2.0096834134896033,4.9966907423280125,30.922006779711786,0,166.91348513320207,3.462023573218597,11.255532800120156
12-0490,5.011573842379074,3.9737894347593676,4.989835947749483,5.00118513089751,4.987146819163,4.996338763356421,4.996398973207734,3.0044359287730917,1.996637425723606,3.019220721320902,34.06825027119199,5.003456982017304,5.005795648154537,5.033474267908563,4.977705326417755,4.976972763538382,0.9979569697161187,3.959772883757412,4.994815769393525,34.991389359043815,0,166.46970911438908,3.4973706812683396,10.633879112585163
12-0489,4.027215716289161,3.9951817540161882,5.001878691628752,4.017453252864144,4.007954450560729,4.999978544370686,5.0009181187016365,1.9967246256520697,2.001536660398593,1.9990204460822827,31.10991506319244,4.979641299373473,3.978287016555838,3.9914300225927923,5.025765982252683,5.023610446594584,3.9946188493971118,3.0204125368379633,5.008348283262695,35.02886273001518,0,144.04247392313826,3.810656666131138,11.57899844283321
12-0488,4.995815806375819,4.010696927291622,5.0203692181430855,4.986226736267405,4.979549496813071,5.004168076604969,5.006282551130758,1.9863048371095327,1.0121717421354754,2.01372005325027,34.04925188641317,4.031817454168468,2.9968359391102966,0.9897807273220754,5.004889044909788,2.9847456058974093,3.0157723963665632,3.000268086463731,4.975566944857812,26.981380331652183,0,127.19983852506286,2.694440082040479,8.049700925633811
12-0487,3.9958160997525254,3.981400344679921,4.986881216557445,4.984399504413247,4.991021707145462,4.9989286698785955,5.004258059921398,2.9985554724482655,2.9989995863105063,2.9877036479368084,33.07253499249002,5.005801856644635,4.011091348356562,4.991772893135862,4.0016252009061075,5.015102226813765,4.008779167029721,3.991911381833903,4.988591701854588,36.01709175613981,0,47.21268659310034,2.4682088896701595,8.426081929841159
12-0486,2.0282196752520805,3.0153044454198445,3.017028313242656,3.0227942924394555,2.972563702431614,5.0035645380265565,4.992765630844318,1.0026078404649703,0.9691571437256201,0.9684808516746997,23.98441054641542,5.023885607687967,4.00710290457131,3.960938917065624,4.985905704075922,5.0076752805836,3.058490454959801,3.0148787210944423,5.002170479801489,33.89731496809721,0,-40.099612442165075,4.346711355419233,11.9512862921035
12-0475,4.013713641772155,4.007119930042695,4.986700355427733,4.991472188917392,5.021391226859305,4.992895265233564,4.997719793794093,1.9812163268116099,1.0176553228570775,0.973577439611709,33.00899243029379,4.996277548836227,1.9867152743737972,1.9915420516014917,2.990567516045116,2.9801914459571983,1.9882135587273695,2.9777230028276005,5.007496021766698,25.024498031568193,0,-69.67942950801674,4.088347069580034,9.033851172946783
12-0474,4.991610747721802,4.989282575357564,4.985578171390794,4.976718795414898,4.996822120180662,4.994871920251869,5.000468513172863,3.011830344289337,3.021291985112113,2.0401095899321704,35.10653771987226,4.985313734872964,3.0070665974788002,3.02624392709414,3.9944080600153478,4.024693461166264,1.055008995783574,2.9945527687354905,5.007574235190188,28.062154827046328,0,-55.14764692964165,3.7845093700448906,10.16608476440219
12-0473,4.009695253283409,3.9979341264180603,4.013927857803654,3.9910577250269372,5.029739201445697,4.993764375408928,4.9983915346001435,2.9945575736733505,0.968932025759942,1.9904178681606517,31.0377690156951,4.9931239490636505,3.0155448426864355,3.009555729558445,4.978881118301642,5.039174856317005,0.9444113663312492,2.9851313990913866,4.9756427534202405,30.022641048045188,0,-33.31243990501475,3.38539695330838,11.642412052070373
12-0472,4.991718977538164,5.023330313423765,4.015686150982637,4.993916223143457,5.011020012714984,4.9952010776446745,4.998348053836942,3.011059300453926,0.9822988042915171,1.017566186975887,33.982644709929254,4.9993870478488365,1.9834117463912952,3.004555376834847,4.995336911800059,3.984713984700963,5.015019737498158,4.019510136596358,3.995669787524641,31.93607955810294,0,-29.658196089809014,2.628050987906392,12.683262381047628
12-0471,4.991677662268235,3.0107074184426397,4.01448618921518,4.028662226503688,5.006149882882603,5.010930346833865,4.989432121509322,2.9998598039001547,3.0343385327175305,2.979203154767735,31.00233410986358,4.99836920782429,2.9666937555171,5.007020379164001,4.9867863592625445,3.986648619953131,3.951349824214696,0.9907054145361759,4.007696090936841,30.867755431060218,0,-25.12666752496005,3.65933209675329,11.912331705891756
